end_use,region,net_electricity_demand,residual_fuel_oil,diesel_fuel,gas,natural_gas,coke_and_breeze,,,,
TOTAL FUEL CONSUMPTION,Northeast,276,4,15,490,9,19,,,,
  Conventional Boiler Use,Northeast,6,1,*,67,1,1,,,,
  CHP and/or Cogeneration Process,Northeast,--,1,1,110,*,12,,,,
  Process Heating,Northeast,31,1,Q,209,2,5,,,,
  Process Cooling and Refrigeration,Northeast,23,*,*,4,*,0,,,,
  Machine Drive,Northeast,129,*,2,21,*,1,,,,
  Electro-Chemical Processes,Northeast,7,--,--,--,--,--,,,,
  Other Process Use,Northeast,9,*,*,8,*,*,,,,
  Facility HVAC (e),Northeast,31,*,2,58,2,*,,,,
  Facility Lighting,Northeast,22,--,--,--,--,--,,,,
  Other Facility Support,Northeast,7,0,*,4,*,*,,,,
  Onsite Transportation,Northeast,1,--,2,*,3,--,,,,
  Conventional Electricity Generation,Northeast,--,*,*,3,*,0,,,,
  Other Nonprocess Use,Northeast,3,*,*,Q,*,0,,,,
End Use Not Reported,Northeast,5,0,*,3,*,0,,,,
TOTAL FUEL CONSUMPTION,Midwest,901,1,21,"1,823",18,182,,,,
  Conventional Boiler Use,Midwest,14,*,*,266,1,6,,,,
  CHP and/or Cogeneration Process,Midwest,--,*,*,374,1,85,,,,
  Process Heating,Midwest,101,*,1,821,5,67,,,,
  Process Cooling and Refrigeration,Midwest,74,0,*,9,*,0,,,,
  Machine Drive,Midwest,462,*,5,28,*,5,,,,
  Electro-Chemical Processes,Midwest,61,--,--,--,--,--,,,,
  Other Process Use,Midwest,22,0,Q,69,*,18,,,,
  Facility HVAC (e),Midwest,74,*,*,209,2,*,,,,
  Facility Lighting,Midwest,59,--,--,--,--,--,,,,
  Other Facility Support,Midwest,16,0,*,25,*,*,,,,
  Onsite Transportation,Midwest,6,--,9,1,6,--,,,,
  Conventional Electricity Generation,Midwest,--,0,*,1,*,*,,,,
  Other Nonprocess Use,Midwest,2,*,*,4,*,0,,,,
End Use Not Reported,Midwest,11,0,*,16,2,0,,,,
TOTAL FUEL CONSUMPTION,South,"1,469",8,32,"3,358",20,141,,,,
  Conventional Boiler Use,South,20,4,1,372,2,3,,,,
  CHP and/or Cogeneration Process,South,--,4,3,"1,113",2,49,,,,
  Process Heating,South,133,1,3,"1,437",5,71,,,,
  Process Cooling and Refrigeration,South,119,0,*,11,*,*,,,,
  Machine Drive,South,782,*,4,104,1,8,,,,
  Electro-Chemical Processes,South,159,--,--,--,--,--,,,,
  Other Process Use,South,26,*,1,174,D,10,,,,
  Facility HVAC (e),South,111,0,*,84,D,*,,,,
  Facility Lighting,South,69,--,--,--,--,--,,,,
  Other Facility Support,South,25,0,*,17,*,0,,,,
  Onsite Transportation,South,6,--,15,2,6,--,,,,
  Conventional Electricity Generation,South,--,0,*,19,*,0,,,,
  Other Nonprocess Use,South,4,0,3,4,*,0,,,,
End Use Not Reported,South,16,*,*,22,1,0,,,,
TOTAL FUEL CONSUMPTION,West,406,4,18,691,17,90,,,,
  Conventional Boiler Use,West,6,*,1,118,1,4,,,,
  CHP and/or Cogeneration Process,West,--,1,1,149,*,29,,,,
  Process Heating,West,29,3,2,343,10,35,,,,
  Process Cooling and Refrigeration,West,40,0,*,2,*,2,,,,
  Machine Drive,West,200,0,3,17,Q,1,,,,
  Electro-Chemical Processes,West,23,--,--,--,--,--,,,,
  Other Process Use,West,19,0,Q,12,*,Q,,,,
  Facility HVAC (e),West,42,0,*,36,*,0,,,,
  Facility Lighting,West,31,--,--,--,--,--,,,,
  Other Facility Support,West,7,0,*,6,*,0,,,,
  Onsite Transportation,West,2,--,6,*,3,--,,,,
  Conventional Electricity Generation,West,--,*,3,4,*,0,,,,
  Other Nonprocess Use,West,4,0,Q,2,*,0,,,,
End Use Not Reported,West,4,0,*,2,*,0,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
