technology_id,technology,year,technology_description,main_output_name,main_output_unit,capacity_unit,investment_per_unit_of_capacity_new_amount,investment_per_unit_of_capacity_new_unit,investment_per_unit_of_capacity_new_lower_limit,investment_per_unit_of_capacity_new_upper_limit,investment_per_unit_of_capacity_new_source,investment_per_unit_of_capacity_new_comment,investment_per_unit_of_capacity_refurbishment_amount,investment_per_unit_of_capacity_refurbishment_unit,investment_per_unit_of_capacity_refurbishment_lower_limit,investment_per_unit_of_capacity_refurbishment_upper_limit,investment_per_unit_of_capacity_refurbishment_source,investment_per_unit_of_capacity_refurbishment_comment,annual_operating_and_maintenance_costs_per_unit_of_capacity_amount,annual_operating_and_maintenance_costs_per_unit_of_capacity_unit,annual_operating_and_maintenance_costs_per_unit_of_capacity_amount_lower_limit,annual_operating_and_maintenance_costs_per_unit_of_capacity_amount_upper_limit,annual_operating_and_maintenance_costs_per_unit_of_capacity_amount_source,annual_operating_and_maintenance_costs_per_unit_of_capacity_amount_comment,technical_lifetime_amount,technical_lifetime_unit,technical_lifetime_lower_limit,technical_lifetime_upper_limit,technical_lifetime_source,technical_lifetime_comment,name_of_input_1,input_1_amount,input_1_unit,input_1_lower_limit,input_1_upper_limit,input_1_source,input_1_comment,name_of_input_2,input_2_amount,input_2_unit,input_2_lower_limit,input_2_upper_limit,input_2_source,input_2_comment,name_of_input_3,input_3_amount,input_3_unit,input_3_lower_limit,input_3_upper_limit,input_3_source,input_3_comment,name_of_input_4,input_4_amount,input_4_unit,input_4_lower_limit,input_4_upper_limit,input_4_source,input_4_comment,name_of_input_5,input_5_amount,input_5_unit,input_5_lower_limit,input_5_upper_limit,input_5_source,input_5_comment,name_of_input_6,input_6_amount,input_6_unit,input_6_lower_limit,input_6_upper_limit,input_6_source,input_6_comment,name_of_input_7,input_7_amount,input_7_unit,input_7_lower_limit,input_7_upper_limit,input_7_source,input_7_comment,name_of_input_8,input_8_amount,input_8_unit,input_8_lower_limit,input_8_upper_limit,input_8_source,input_8_comment,name_of_input_9,input_9_amount,input_9_unit,input_9_lower_limit,input_9_upper_limit,input_9_source,input_9_comment,name_of_input_10,input_10_amount,input_10_unit,input_10_lower_limit,input_10_upper_limit,input_10_source,input_10_comment,name_of_input_11,input_11_amount,input_11_unit,input_11_lower_limit,input_11_upper_limit,input_11_source,input_11_comment,name_of_input_12,input_12_amount,input_12_unit,input_12_lower_limit,input_12_upper_limit,input_12_source,input_12_comment,name_of_output_1,output_1_amount,output_1_unit,output_1_lower_limit,output_1_upper_limit,output_1_source,output_1_comment,name_of_output_2,output_2_amount,output_2_unit,output_2_lower_limit,output_2_upper_limit,output_2_source,output_2_comment,name_of_output_3,output_3_amount,output_3_unit,output_3_lower_limit,output_3_upper_limit,output_3_source,output_3_comment,name_of_output_4,output_4_amount,output_4_unit,output_4_lower_limit,output_4_upper_limit,output_4_source,output_4_comment,name_of_output_5,output_5_amount,output_5_unit,output_5_lower_limit,output_5_upper_limit,output_5_source,output_5_comment,name_of_output_6,output_6_amount,output_6_unit,output_6_lower_limit,output_6_upper_limit,output_6_source,output_6_comment,name_of_output_7,output_7_amount,output_7_unit,output_7_lower_limit,output_7_upper_limit,output_7_source,output_7_comment,name_of_output_8,output_8_amount,output_8_unit,output_8_lower_limit,output_8_upper_limit,output_8_source,output_8_comment,name_of_output_9,output_9_amount,output_9_unit,output_9_lower_limit,output_9_upper_limit,output_9_source,output_9_comment,name_of_output_10,output_10_amount,output_10_unit,output_10_lower_limit,output_10_upper_limit,output_10_source,output_10_comment,name_of_output_11,output_11_amount,output_11_unit,output_11_lower_limit,output_11_upper_limit,output_11_source,output_11_comment,name_of_output_12,output_12_amount,output_12_unit,output_12_lower_limit,output_12_upper_limit,output_12_source,output_12_comment,co2_emissions_amount,co2_emissions_unit,co2_emissions_lower_limit,co2_emissions_upper_limit,co2_emissions_source,co2_emissions_comment,ch4_emissions_amount,ch4_emissions_unit,ch4_emissions_lower_limit,ch4_emissions_upper_limit,ch4_emissions_source,ch4_emissions_comment,n2o_emissions_amount,n2o_emissions_unit,n2o_emissions_lower_limit,n2o_emissions_upper_limit,n2o_emissions_source,n2o_emissions_comment,f_gases_emissions_amount,f_gases_emissions_unit,f_gases_emissions_lower_limit,f_gases_emissions_upper_limit,f_gases_emissions_source,f_gases_emissions_comment,trl_value,trl_source,trl_comment,main_output_id,input_1_id,input_2_id,input_3_id,input_4_id,input_5_id,input_6_id,input_7_id,input_8_id,input_9_id,input_10_id,input_11_id,input_12_id,output_1_id,output_2_id,output_3_id,output_4_id,output_5_id,output_6_id,output_7_id,output_8_id,output_9_id,output_10_id,output_11_id,output_12_id
TC0001,Regenerative end-port furnace with electric boosting,2019,"Air/fuel furnace with 8% electric boosting. regenerators for air preheating, positioned at the end of the melting tank and operating with a typical energy efficiency of 70%.  Assumed batch mixing is 1% of total reference plant (regenerator with electric boosting is 80%. 19% is post-melting process)",glass (molten),kt,kt molten glass/yr,0.15,MEUR2017,0.13,0.17,0,Approximate figure of EUR 15 million for 100 kt/yr capacity furnace mentioned by glass industry,0,0,0,0,0,0,0.0045,MEUR2017,0.0039,0.0051,0,3% of CAPEX assumed,17,yr,15,20,0,0,natural gas,3950,GJ,0,0,"Papadogeorgos & Schure (2019), Decarbonisation options for the Dutch container and tableware glass industry, PBL and TNO Energy Transition.","Using data model technology 0 with 8% electric boosting, 76% cullet, no oxygen enrichment/substitution",electricity,392,GJ,0,0,"Papadogeorgos & Schure, 2019",Included: electricity use for batch mixing of 48 GJ/t melt ,cullet,0.763,kt,0,0,"Papadogeorgos & Schure, 2019",0,batch minerals,0.244,kt,0,0,"Papadogeorgos & Schure, 2019","62.3% silica, 18.4% soda ash (sodium carbonate), 7.8% limestone (calcium carbonate), 10.9% dolomite and 0.6% sodium sulphate assumed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,glass (molten),1,kt,0,0,0,0,flue gas,1420,GJ,0,0,"Papadogeorgos & Schure, 2019",T=454 Celcius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263,kt,0,0,0,"emission factor natural gas 56.6 kg/GJ accounts for 85% of emissions, process emissions another 15% (10-15%)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,CD0175,CD0026,CD0030,CD0176,CD0172,0,0,0,0,0,0,0,0,CD0175,CD0174,0,0,0,0,0,0,0,0,0,0
TC0002,Regenerative end-port furnace with electric boosting and batch/cullet preheater,2019,Air/fuel furnace with 8% electric boosting and regenerators. both raw materials and cullet are preheated using the flue gas heat contents.,glass (molten),kt,kt molten glass/yr,0.18,MEUR2017,0.16,0.2,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/230949/D13_951813__Ricardo_AEA_Industrial_Decarbonisation_Literature_Review_201___.pdf,CAPEX from regenerative end-port furnace plus 1.5 million for preheater (EUR 1.5 million for 350 t/day capacity~100kt/yr) Assumed double that cost to account for EPC ,0,0,0,0,0,0,0.00452,MEUR2017,0.00392,0.00512,0,3% of CAPEX assumed,17,yr,15,20,0,batch preheater lifetime 20 yrs. furnace lifetime extended with the use of electric boosting,natural gas,3230,GJ,0,0,"Papadogeorgos & Schure (2019), Decarbonisation options for the Dutch container and tableware glass industry, PBL and TNO Energy Transition.","Using data model technology 1 with 8% electric boosting, 76% cullet, no oxygen enrichment/substitution",electricity,329,GJ,0,0,"Papadogeorgos & Schure, 2019",Included: electricity use for batch mixing of 48 GJ/t melt ,cullet,0.763,kt,0,0,"Papadogeorgos & Schure, 2019",0,batch minerals,0.244,kt,0,0,"Papadogeorgos & Schure, 2019","62.3% silica, 18.4% soda ash (sodium carbonate), 7.8% limestone (calcium carbonate), 10.9% dolomite and 0.6% sodium sulphate assumed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,glass (molten),1,kt,0,0,0,0,flue gas,639,GJ,0,0,"Papadogeorgos & Schure, 2019",T=218 Celcius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,kt,0,0,0,"emission factor natural gas 56.6 kg/GJ accounts for 85% of emissions, process emissions another 15% (10-15%)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CD0175,CD0026,CD0030,CD0176,CD0172,0,0,0,0,0,0,0,0,CD0175,CD0174,0,0,0,0,0,0,0,0,0,0
TC0003,Green gas regenerative end-port furnace with electric boosting and batch/cullet preheater,2020,Air/fuel furnace with 8% electric boosting and regenerators. both raw materials and cullet are preheated using the flue gas heat contents.,glass (molten),kt,kt molten glass/yr,0.18,MEUR2017,0.16,0.2,"PB & DNV GL (2015b), Wallenberger (2010)",CAPEX from regenerative end-port furnace plus 1.5 million for preheater (EUR 1.5 million for 350 t/day capacity~100kt/yr) Assumed double that cost to account for EPC ,0,0,0,0,0,0,0.00452,MEUR2017,0.00392,0.00512,0,3% of CAPEX assumed,17,yr,15,20,0,batch preheater lifetime 20 yrs. furnace lifetime extended with the use of electric boosting,green gas,3230,GJ,0,0,"Papadogeorgos & Schure (2019), Decarbonisation options for the Dutch container and tableware glass industry, PBL and TNO Energy Transition.",Direct substitution natural gas assumed,electricity,329,GJ,0,0,"Papadogeorgos & Schure, 2019",Included: electricity use for batch mixing of 48 GJ/t melt ,cullet,0.763,kt,0,0,"Papadogeorgos & Schure, 2019",0,batch minerals,0.244,kt,0,0,"Papadogeorgos & Schure, 2019","62.3% silica, 18.4% soda ash (sodium carbonate), 7.8% limestone (calcium carbonate), 10.9% dolomite and 0.6% sodium sulphate assumed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,glass (molten),1,kt,0,0,0,0,flue gas,639,GJ,0,0,"Papadogeorgos & Schure, 2019",T=218 Celcius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0394,kt,0,0,0,only process emissions of 15% base case,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,https://ec.europa.eu/clima/sites/clima/files/strategies/2050/docs/industrial_innovation_part_1_en.pdf ,0,CD0175,CD0192,CD0030,CD0176,CD0172,0,0,0,0,0,0,0,0,CD0175,CD0174,0,0,0,0,0,0,0,0,0,0
TC0004,Oxy/fuel furnace with electric boosting,2019,Fuel combustion with pure oxygen instead of atmospheric air. Electricity consumption 5%.,glass (molten),kt,kt molten glass/yr,0.15,MEUR2017,0.13,0.17,"PB & DNV GL, 2015. Messer, 2018",Assumed same as regenerative furnace. .Sources indicate it may be higher for refurbishment and lower for new build.,0,0,0,0,0,0,0.0045,MEUR2017,0.0039,0.0051,0,3% of CAPEX assumed,17,yr,15,20,0,Extended with the use of Electric boosting,natural gas,3570,GJ,0,0,"Papadogeorgos & Schure (2019), Decarbonisation options for the Dutch container and tableware glass industry, PBL and TNO Energy Transition.","Using data model technology 3, with 5% electricity, 76% cullet, 100% oxygen",electricity,230,GJ,0,0,"Papadogeorgos & Schure, 2019",Included: electricity use for batch mixing of 48 GJ/t melt ,oxygen (gas),0.285,kt,0,0,"Papadogeorgos & Schure, 2019",212.99 m3,cullet,0.763,kt,0,0,"Papadogeorgos & Schure, 2019",0,batch minerals,0.244,kt,0,0,"Papadogeorgos & Schure, 2019","62.3% silica, 18.4% soda ash (sodium carbonate), 7.8% limestone (calcium carbonate), 10.9% dolomite and 0.6% sodium sulphate assumed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,glass (molten),1,kt,0,0,0,0,flue gas,1820,GJ,0,0,"Papadogeorgos & Schure, 2019","after natural gas and air preheating, T=1477 Celcius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237,kt,0,0,0,"emission factor natural gas 56.6 kg/GJ accounts for 85% of emissions, process emissions another 15% (10-15%)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CD0175,CD0026,CD0030,CD0048,CD0176,CD0172,0,0,0,0,0,0,0,CD0175,CD0174,0,0,0,0,0,0,0,0,0,0
TC0005,Oxy/fuel furnace with electric boosting and electricity generation,2019,Same as Oxy/fuel furnace with electric boosting but with electricity generation by recovering residual heat downstream from oxy/fuel furnace. ,glass (molten),kt,kt molten glass/yr,0.18,MEUR2017,0.16,0.2,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/230949/D13_951813__Ricardo_AEA_Industrial_Decarbonisation_Literature_Review_201___.pdf,EUR 1.67 million for electricity generation from waste heat after electrostatic filter for 300 t/day (~100kt/yr) capacity. Assumed double to account for EPC,0,0,0,0,0,0,0.00452,MEUR2017,0.00392,0.00512,0,3% of CAPEX assumed,17,yr,15,20,0,0,natural gas,3570,GJ,0,0,"Papadogeorgos & Schure (2019), Decarbonisation options for the Dutch container and tableware glass industry, PBL and TNO Energy Transition.","Using data model technology 3, with 5% electricity, 76% cullet, 100% oxygen",electricity,67.8,GJ,0,0,"Papadogeorgos & Schure, 2019","Included: electricity use for batch mixing of 48 GJ/kt melt, minus 162 GJ/kt melt (45 kWh/t melt)",oxygen (gas),0.285,kt,0,0,"Papadogeorgos & Schure, 2019",212.99 m3,cullet,0.763,kt,0,0,"Papadogeorgos & Schure, 2019",0,batch minerals,0.244,kt,0,0,"Papadogeorgos & Schure, 2019","62.3% silica, 18.4% soda ash (sodium carbonate), 7.8% limestone (calcium carbonate), 10.9% dolomite and 0.6% sodium sulphate assumed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,glass (molten),1,kt,0,0,0,0,flue gas,199,GJ,0,0,"Papadogeorgos & Schure, 2019",Assumed same as for system with air/cullet preheater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237,kt,0,0,0,"emission factor natural gas 56.6 kg/GJ accounts for 85% of emissions, process emissions another 15% (10-15%)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CD0175,CD0026,CD0030,CD0048,CD0176,CD0172,0,0,0,0,0,0,0,CD0175,CD0174,0,0,0,0,0,0,0,0,0,0
TC0006,Oxy/fuel furnace with bubblers and electricity generation,2019,Electricity generation by recovering residual heat downstream from oxy/fuel furnace. ,glass (molten),kt,kt molten glass/yr,0.17,MEUR2017,0.15,0.19,0,Rounded up from oxy/fuel furnace with electric boosting,0,0,0,0,0,0,0.00453,MEUR2017,0.00393,0.00513,0,3% of CAPEX assumed,13,yr,11,18,0,Assumed shorter than without bubbling because of extra wear,natural gas,3580,GJ,0,0,"Papadogeorgos & Schure (2019), Decarbonisation options for the Dutch container and tableware glass industry, PBL and TNO Energy Transition.","Using data model technology 3, with 0% electricity, 76% cullet, 100% oxygen",electricity,58.7,GJ,0,0,0,"Included: electricity use for batch mixing of 48 GJ/kt melt, minus 162 GJ/kt melt (45 kWh/t melt)",oxygen (gas),0.285,kt,0,0,"Papadogeorgos & Schure, 2019",213.5 m3,cullet,0.763,kt,0,0,"Papadogeorgos & Schure, 2019",0,batch minerals,0.244,kt,0,0,"Papadogeorgos & Schure, 2019","62.3% silica, 18.4% soda ash (sodium carbonate), 7.8% limestone (calcium carbonate), 10.9% dolomite and 0.6% sodium sulphate assumed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,glass (molten),1,kt,0,0,0,0,flue gas,199,GJ,0,0,"Papadogeorgos & Schure, 2019",Assumed same as for system with air/cullet preheater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,kt,0,0,0,"emission factor natural gas 56.6 kg/GJ accounts for 85% of emissions, process emissions another 15% (10-15%)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CD0175,CD0026,CD0030,CD0048,CD0176,CD0172,0,0,0,0,0,0,0,CD0175,CD0174,0,0,0,0,0,0,0,0,0,0
TC0007,Oxy/fuel furnace with electric boosting and air/NG/cullet preheater,2020,Fuel combustion with oxygen instead of atmospheric air. Air and NG preheating. 5% electric boosting. Cullet is preheated using the flue gas heat contents. raw materials are mostly heated through the heated cullet.,glass (molten),kt,kt molten glass/yr,0.17,MEUR2017,0.15,0.19,0,Rounded up from oxy/fuel furnace with electric boosting,0,0,0,0,0,0,0.00453,MEUR2017,0.00393,0.00513,0,3% of CAPEX assumed,17,yr,15,20,0,0,natural gas,2940,GJ,0,0,"Papadogeorgos & Schure (2019), Decarbonisation options for the Dutch container and tableware glass industry, PBL and TNO Energy Transition.","Using data model technology 6, with 5% electricity, 76% cullet, 100% oxygen",electricity,198,GJ,0,0,"Papadogeorgos & Schure, 2019",Included: electricity use for batch mixing of 48 GJ/t melt ,oxygen (gas),0.234,kt,0,0,"Papadogeorgos & Schure, 2019",Same ratio as oxy/NG in oxy/fuel furnace with electric boosting,cullet,0.763,kt,0,0,"Papadogeorgos & Schure, 2019",0,batch minerals,0.244,kt,0,0,"Papadogeorgos & Schure, 2019","62.3% silica, 18.4% soda ash (sodium carbonate), 7.8% limestone (calcium carbonate), 10.9% dolomite and 0.6% sodium sulphate assumed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,glass (molten),1,kt,0,0,0,0,flue gas,199,GJ,0,0,"Papadogeorgos & Schure, 2019",T_flue = 211 Celsius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195,kt,0,0,0,"emission factor natural gas 56.6 kg/GJ accounts for 85% of emissions, process emissions another 15% (10-15%)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CD0175,CD0026,CD0030,CD0048,CD0176,CD0172,0,0,0,0,0,0,0,CD0175,CD0174,0,0,0,0,0,0,0,0,0,0
TC0008,Green gas oxy/fuel furnace with electric boosting and air/NG/cullet preheater,2020,Fuel combustion with oxygen instead of atmospheric air. Air and NG preheating. 5% electric boosting. Cullet is preheated using the flue gas heat contents. raw materials are mostly heated through the heated cullet.,glass (molten),kt,kt molten glass/yr,0.17,MEUR2017,0.15,0.19,0,Rounded up from oxy/fuel furnace with electric boosting,0,0,0,0,0,0,0.00453,MEUR2017,0.00393,0.00513,0,3% of CAPEX assumed,17,yr,15,20,0,0,green gas,2940,GJ,0,0,"Papadogeorgos & Schure (2019), Decarbonisation options for the Dutch container and tableware glass industry, PBL and TNO Energy Transition.",Direct substitution natural gas assumed,electricity,198,GJ,0,0,"Papadogeorgos & Schure, 2019",Included: electricity use for batch mixing of 48 GJ/t melt ,oxygen (gas),0.234,kt,0,0,"Papadogeorgos & Schure, 2019",Same ratio as oxy/NG in oxy/fuel furnace with electric boosting,cullet,0.763,kt,0,0,"Papadogeorgos & Schure, 2019",0,batch minerals,0.244,kt,0,0,"Papadogeorgos & Schure, 2019","62.3% silica, 18.4% soda ash (sodium carbonate), 7.8% limestone (calcium carbonate), 10.9% dolomite and 0.6% sodium sulphate assumed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,glass (molten),1,kt,0,0,0,0,flue gas,199,GJ,0,0,"Papadogeorgos & Schure, 2019",T_flue = 211 Celsius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0394,kt,0,0,0,only process emissions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,https://ec.europa.eu/clima/sites/clima/files/strategies/2050/docs/industrial_innovation_part_1_en.pdf ,0,CD0175,CD0192,CD0030,CD0048,CD0176,CD0172,0,0,0,0,0,0,0,CD0175,CD0174,0,0,0,0,0,0,0,0,0,0
TC0009,Post-melting process CG,2019,"Refining, Forming, Annealing, Surface treatment, Inspection. Assumed reference furnace (regenerator with electric boosting) consumes 80% of total energy consumption, 19% of total goes to post-melting process CG, and 1% goes to batch mixing. Of post-melting, 53% is natural gas consumption, the rest electricity",glass product,kt,kt glass/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,yr,0,0,0,Assumed same as furnace,natural gas,542,GJ,0,0,"Papadogeorgos & Schure (2019), Decarbonisation options for the Dutch container and tableware glass industry, PBL and TNO Energy Transition.",0,electricity,482,GJ,0,0,"Papadogeorgos & Schure, 2019",0,glass (molten),1.07,kt,0,0,"Papadogeorgos & Schure, 2019",0,0,0,0,0,0,"Papadogeorgos & Schure, 2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,glass product,1,kt,0,0,0,0,0,0,0,0,0,"Papadogeorgos & Schure, 2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307,kt,0,0,0,emission factor natural gas 56.6 kg/GJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CD0173,CD0026,CD0030,CD0175,0,0,0,0,0,0,0,0,0,CD0173,0,0,0,0,0,0,0,0,0,0,0
TC0010,Green gas regenerative furnace with electric boosting,2020,Biomethane combustion for replacing natural gas. Runs on gas burners. no refurbishments are needed.,glass (molten),kt,kt molten glass/yr,0.15,MEUR2017,0.13,0.17,0,No Capex would be incurred by switching to biomethane as the fuel,0,0,0,0,0,0,0.0045,MEUR2017,0.0039,0.0051,0,3% of CAPEX assumed,17,yr,15,20,0,0,green gas,3950,GJ,0,0,"Papadogeorgos & Schure (2019), Decarbonisation options for the Dutch container and tableware glass industry, PBL and TNO Energy Transition.",Direct substitution natural gas assumed,electricity,392,GJ,0,0,"Papadogeorgos & Schure, 2019",Included: electricity use for batch mixing of 48 GJ/t melt ,cullet,0.763,kt,0,0,"Papadogeorgos & Schure, 2019",0,batch minerals,0.244,kt,0,0,"Papadogeorgos & Schure, 2019","62.3% silica, 18.4% soda ash (sodium carbonate), 7.8% limestone (calcium carbonate), 10.9% dolomite and 0.6% sodium sulphate assumed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,glass (molten),1,kt,0,0,0,0,flue gas,1420,GJ,0,0,"Papadogeorgos & Schure, 2019",T=454 Celcius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0394,kt,0,0,0,only process emissions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,https://ec.europa.eu/clima/sites/clima/files/strategies/2050/docs/industrial_innovation_part_1_en.pdf ,0,CD0175,CD0192,CD0030,CD0176,CD0172,0,0,0,0,0,0,0,0,CD0175,CD0174,0,0,0,0,0,0,0,0,0,0
