naics_code,end_use,scenario,net_electricity_demand,residual_fuel_oil,distillate_fuel_oil_and_diesel_fuel,nat_gas,hgl_excluding_ng,coal_excluding_coke_and_breeze
311,TOTAL FUEL CONSUMPTION,Current Energy Consumption,80,0,9,167,2,-1
311,Conventional Boiler Use,Current Energy Consumption,2,0,1,19,1,0
311,CHP and/or Cogeneration Process,Current Energy Consumption,0,0,1,51,1,0
311,Process Heating,Current Energy Consumption,4,0,0,51,0,0
311,Process Cooling and Refrigeration,Current Energy Consumption,13,0,0,0,0,0
311,Machine Drive,Current Energy Consumption,37,0,0,6,0,0
311,Electro-Chemical Processes,Current Energy Consumption,2,0,0,0,0,0
311,Other Process Use,Current Energy Consumption,1,0,0,6,0,0
311,Facility HVAC (f),Current Energy Consumption,25,0,0,26,1,0
311,Facility Lighting,Current Energy Consumption,20,0,0,0,0,0
311,Other Facility Support,Current Energy Consumption,1,0,0,7,0,0
311,Onsite Transportation,Current Energy Consumption,1,0,1,0,1,0
311,Conventional Electricity Generation,Current Energy Consumption,0,0,2,0,0,0
311,Other Nonprocess Use,Current Energy Consumption,1,0,1,0,0,0
311,End Use Not Reported,Current Energy Consumption,4,0,0,2,0,0
3112,TOTAL FUEL CONSUMPTION,Current Energy Consumption,32,0,1,88,0,9
3112,Conventional Boiler Use,Current Energy Consumption,1,0,0,28,0,4
3112,CHP and/or Cogeneration Process,Current Energy Consumption,0,0,0,27,0,5
3112,Process Heating,Current Energy Consumption,2,0,0,23,0,0
3112,Process Cooling and Refrigeration,Current Energy Consumption,2,0,0,0,0,0
3112,Machine Drive,Current Energy Consumption,21,0,0,4,0,0
3112,Electro-Chemical Processes,Current Energy Consumption,0,0,0,0,0,0
3112,Other Process Use,Current Energy Consumption,1,0,0,3,0,0
3112,Facility HVAC (f),Current Energy Consumption,1,0,0,4,0,0
3112,Facility Lighting,Current Energy Consumption,2,0,0,0,0,0
3112,Other Facility Support,Current Energy Consumption,1,0,0,0,0,0
3112,Onsite Transportation,Current Energy Consumption,0,0,0,0,0,0
3112,Conventional Electricity Generation,Current Energy Consumption,0,0,0,0,0,0
3112,Other Nonprocess Use,Current Energy Consumption,0,0,0,0,0,0
3112,End Use Not Reported,Current Energy Consumption,0,0,0,0,0,0
311221,TOTAL FUEL CONSUMPTION,Current Energy Consumption,22,0,0,61,0,10
311221,Conventional Boiler Use,Current Energy Consumption,1,0,0,8,0,1
311221,CHP and/or Cogeneration Process,Current Energy Consumption,0,0,0,36,0,9
311221,Process Heating,Current Energy Consumption,0,0,0,16,0,0
311221,Process Cooling and Refrigeration,Current Energy Consumption,4,0,0,0,0,0
311221,Machine Drive,Current Energy Consumption,16,0,0,0,0,0
311221,Electro-Chemical Processes,Current Energy Consumption,0,0,0,0,0,0
311221,Other Process Use,Current Energy Consumption,0,0,0,0,0,0
311221,Facility HVAC (f),Current Energy Consumption,1,0,0,0,0,0
311221,Facility Lighting,Current Energy Consumption,0,0,0,0,0,0
311221,Other Facility Support,Current Energy Consumption,0,0,0,0,0,0
311221,Onsite Transportation,Current Energy Consumption,0,0,0,0,0,0
311221,Conventional Electricity Generation,Current Energy Consumption,0,0,0,0,0,0
311221,Other Nonprocess Use,Current Energy Consumption,0,0,0,0,0,0
311221,End Use Not Reported,Current Energy Consumption,0,0,0,0,0,0
31131,TOTAL FUEL CONSUMPTION,Current Energy Consumption,7,0,0,33,0,29
31131,Conventional Boiler Use,Current Energy Consumption,1,0,0,4,0,0
31131,CHP and/or Cogeneration Process,Current Energy Consumption,0,0,0,20,0,18
31131,Process Heating,Current Energy Consumption,0,0,0,8,0,10
31131,Process Cooling and Refrigeration,Current Energy Consumption,0,0,0,0,0,0
31131,Machine Drive,Current Energy Consumption,4,0,0,0,0,0
31131,Electro-Chemical Processes,Current Energy Consumption,0,0,0,0,0,0
31131,Other Process Use,Current Energy Consumption,0,0,0,0,0,0
31131,Facility HVAC (f),Current Energy Consumption,0,0,0,0,0,0
31131,Facility Lighting,Current Energy Consumption,0,0,0,0,0,0
31131,Other Facility Support,Current Energy Consumption,0,0,0,0,0,0
31131,Onsite Transportation,Current Energy Consumption,0,0,0,0,0,0
31131,Conventional Electricity Generation,Current Energy Consumption,0,0,0,0,0,0
31131,Other Nonprocess Use,Current Energy Consumption,0,0,0,0,0,0
31131,End Use Not Reported,Current Energy Consumption,0,0,0,0,0,0
3114,TOTAL FUEL CONSUMPTION,Current Energy Consumption,36,0,0,92,1,0
3114,Conventional Boiler Use,Current Energy Consumption,1,0,0,18,0,0
3114,CHP and/or Cogeneration Process,Current Energy Consumption,0,0,0,41,0,0
3114,Process Heating,Current Energy Consumption,1,0,0,22,0,0
3114,Process Cooling and Refrigeration,Current Energy Consumption,14,0,0,1,0,0
3114,Machine Drive,Current Energy Consumption,12,0,0,1,0,0
3114,Electro-Chemical Processes,Current Energy Consumption,0,0,0,0,0,0
3114,Other Process Use,Current Energy Consumption,1,0,0,0,0,0
3114,Facility HVAC (f),Current Energy Consumption,3,0,0,6,0,0
3114,Facility Lighting,Current Energy Consumption,3,0,0,0,0,0
3114,Other Facility Support,Current Energy Consumption,1,0,0,2,0,0
3114,Onsite Transportation,Current Energy Consumption,0,0,0,0,0,0
3114,Conventional Electricity Generation,Current Energy Consumption,0,0,0,0,0,0
